function_index,prompt,sample_index,code_segment,Size,Min,Average,Max,Exception
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",1,['def funcImp(lst):\n    return lst[::-1]'],1000,0.00015759999951114878,0.00016695900008926402,0.00043279999954393134,N/A
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",1,['def funcImp(lst):\n    return lst[::-1]'],10000,0.0015509000004385598,0.0017585469999175985,0.0019317000005685259,N/A
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",1,['def funcImp(lst):\n    return lst[::-1]'],100000,0.022490400002425304,0.04140054599985888,0.062036999999691034,N/A
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",2,['def funcImp(lst):\n    lst.reverse()\n    for num in reversed(lst):\n        pass'],1000,0.0004712000009021722,0.0004993250001643901,0.000612899999396177,N/A
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",2,['def funcImp(lst):\n    lst.reverse()\n    for num in reversed(lst):\n        pass'],10000,0.004479799998080125,0.004805897999831359,0.0052244999969843775,N/A
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",2,['def funcImp(lst):\n    lst.reverse()\n    for num in reversed(lst):\n        pass'],100000,0.05045079999763402,0.05773464499972761,0.06384109999999055,N/A
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",3,['def funcImp(lst):\n    for i in reversed(lst):\n        pass\n    reversed_lst = list(reversed(lst))\n    return reversed_lst'],1000,0.000691100001859013,0.0007305049998467439,0.0011924999998882413,N/A
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",3,['def funcImp(lst):\n    for i in reversed(lst):\n        pass\n    reversed_lst = list(reversed(lst))\n    return reversed_lst'],10000,0.006596499999432126,0.007001890999890748,0.007521999999880791,N/A
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",3,['def funcImp(lst):\n    for i in reversed(lst):\n        pass\n    reversed_lst = list(reversed(lst))\n    return reversed_lst'],100000,0.08815349999713362,0.10810442000005423,0.12728900000001886,N/A
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",4,['def funcImp(lst):\n    lst.reverse()\n    for num in reversed(lst):\n        pass\n    return lst'],1000,0.0004560999987006653,0.0005002869999952964,0.0007297999982256442,N/A
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",4,['def funcImp(lst):\n    lst.reverse()\n    for num in reversed(lst):\n        pass\n    return lst'],10000,0.004554900002403883,0.004834185000181606,0.005513000000064494,N/A
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",4,['def funcImp(lst):\n    lst.reverse()\n    for num in reversed(lst):\n        pass\n    return lst'],100000,0.05244959999981802,0.058626462999891375,0.06461599999965983,N/A
0_p8_auto_reverse_list_strategy,"""How do I reverse a list or loop over it backwards? The implementation should be fast. Avoid using print function. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",5,['def funcImp(lst):\n    return list(reversed(lst))'],1000,0.0002330999996047467,0.0002512170000045444,0.00028110000130254775,N/A
