Size,Function,Min,Average,Max
1000,0_p1_auto_find_duplicates_list_strategy,0.0002733999990596203,0.0008287520999838308,0.008626799999547075
10000,0_p1_auto_find_duplicates_list_strategy,0.0026276000007783296,0.008293587899996055,0.06709159999991243
100000,0_p1_auto_find_duplicates_list_strategy,0.10991540000031819,0.184646107400009,0.7183249999998225
1000,1_p1_auto_find_duplicates_list_strategy,0.0002736999995249789,0.001767423300039809,0.006584599999769125
10000,1_p1_auto_find_duplicates_list_strategy,0.0026134999989153584,0.017571400499960872,0.06547359999967739
100000,1_p1_auto_find_duplicates_list_strategy,0.11329660000046715,0.26913566459994037,0.7152481000011903
1000,2_p1_auto_find_duplicates_list_strategy,0.00027379999846743885,0.0002942353000107687,0.0005853000002389308
10000,2_p1_auto_find_duplicates_list_strategy,0.00262519999887445,0.002836748300029285,0.0042767000013554934
100000,2_p1_auto_find_duplicates_list_strategy,0.11203500000010536,0.13067073910003274,0.1421541999989131
1000,3_p1_auto_find_duplicates_list_strategy,0.0002718999985518167,0.0008048182000311499,0.006161300001622294
10000,3_p1_auto_find_duplicates_list_strategy,0.00262519999887445,0.00794950649997554,0.06087590000061027
100000,3_p1_auto_find_duplicates_list_strategy,0.10871709999992163,0.18005605469998773,0.6921887999997125
